"Bout","Date","Site","Precip10","Precip30","Precip60","VWC5.10","VWC3.10","VWC1.10","VWC5.1","VWC3.1","VWC1.1","lhVar","lh10"
"CPER1","2020-08-14","CPER",0.18839248434238,0.272322446143155,0.271909706546275,NA,NA,NA,NA,NA,NA,1821.14853619718,NA
"NIWO1","2020-08-17","NIWO",0.292450331125828,0.662287719298246,0.417244228432564,0.0748260667903525,0.0748260667903525,0.0755774721189591,0.0684010869565217,0.0684010869565217,0.066084496124031,NA,NA
"SCBI1","2020-08-13","SCBI",1.88541484716157,0.161071593533487,-0.459446280991736,0.254209661835749,0.254209661835749,0.383755617977528,0.304205263157895,0.304205263157895,0.375539130434783,NA,NA
"UNDE1","2020-08-27","UNDE",4.18682254697286,2.54353300903405,3.82293255131965,0.137511965811966,0.137511965811966,0.26398631452581,0.138377514792899,0.138377514792899,0.298578571428571,4652.78490843652,220.757200884962
"WOOD1","2020-08-19","WOOD",0.121553235908142,1.127382904795,1.15482233502538,0.132550686037127,0.132550686037127,0.122156401384083,0.114046610169492,0.114046610169492,0.089162962962963,4002.69295690461,200.541196749503
"CPER2","2020-09-03","CPER",-0.339306889352818,-0.158977067407922,-0.19209022556391,NA,NA,NA,NA,NA,NA,NA,34.561546586923
"HARV1","2020-08-26","HARV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YELL1","2020-08-30","YELL",0.0336701461377871,-0.0822564102564103,-0.0822564102564103,0.0097274,0.0097274,0.00731180438448567,0.00878095238095238,0.00878095238095238,0.00854812030075188,NA,NA
"WOOD2","2020-09-10","WOOD",0.0295615866388309,0.545636743215031,0.729425906735751,0.0961643146796431,0.0961643146796431,0.0978530419880034,0.0960964788732394,0.0960964788732394,0.0806757575757576,5230.67144465972,88.4990765771715
"NIWO2","2020-09-14","NIWO",1.08873640167364,1.16885674547983,0.967265653495441,0.0884114728682171,0.0884114728682171,0.166937956698241,0.0982375,0.0982375,0.2057448,NA,NA
"SCBI2","2020-09-11","SCBI",3.8216617954071,2.03868241834607,2.06184648648649,0.21511737804878,0.21511737804878,0.380547448979592,NA,NA,NA,NA,NA
"OSBS1","2020-09-15","OSBS",3.31536305732484,3.8770756302521,2.7280995215311,0.183706242118537,0.183706242118537,0.197783584686775,0.238663402061856,0.238663402061856,0.28120303030303,9730.04357741216,NA
"UNDE2","2020-09-17","UNDE",2.07331941544885,3.66809457579972,3.06408116453463,0.141089495225102,0.141089495225102,0.263715294117647,0.148176068376068,0.148176068376068,0.247096666666667,5449.93455680638,151.829540549805
