"Bout","SpeciesNum","Overlap.raw","Overlap.post","Overlap.postMed"
"CPER1",2,0.03309785794763,0.379278657613637,0.00916030067495881
"NIWO1",3,0.117324203112166,0.229422577761191,0.163330727815562
"SCBI1",2,0.173582699014708,0.301588979709773,0.313171013766162
"UNDE1",3,0.102479142385458,0.188587941011274,0.0443945660436474
"WOOD1",2,0.223629460438657,0.274777341876649,0.224769298158817
"CPER2",5,0.10038909403024,0.290823336476775,0.154233558456142
"HARV1",2,0.18223844955923,0.24152656185452,0.175843902245664
"YELL1",0,NA,0.0338982374000405,NA
"WOOD2",3,0.108817285325149,0.397340678236652,0.154679535058238
"NIWO2",4,0.178799905533594,0.267414523632958,0.178878434668484
"SCBI2",3,0.0952733600642715,0.332569539406941,0.133718101582905
"OSBS1",4,0.0590799227623565,0.180351536744832,0.0659059110637007
"UNDE2",4,0.187654050656613,0.218945564494234,0.184778738667888
"CPER3",5,0.218370081206386,0.326670006578511,0.18099840987737
"NIWO3",4,0.142956221186642,0.137746683836735,0.164295504874
"HARV2",3,0.18886725147915,0.280065722873218,0.246322223793799
"WREF1",4,0.199046655398475,0.271957108471685,0.249555210969271
"YELL2",5,0.0722924343294602,0.102633311744985,0.094504691176135
"SCBI3",3,0.266740156541517,0.266047371642839,0.129909918498928
"UNDE3",0,NA,0.13645736932811,NA
"OSBS2",5,0.090234450872494,0.22191111674931,0.13889732782904
"WREF2",5,0.142110174137435,0.210034968735529,0.142510827225405
"HARV3",2,0.0661509415565244,0.317337062558893,0.164477865118694
"OSBS3",4,0.20909577881772,0.313448542227538,0.218531616650509
"WREF3",5,0.0848710701495499,0.19065188239862,0.0433263048171671
"YELL5",5,0.154708056096284,0.209543879085398,0.149234583308382
"SCBI5",0,NA,0.0213998840022621,NA
"WOOD5",2,0.0154458945154737,0.125309745165338,0.0191111612269158
"TALL4",2,0.171323707212005,0.294638064358035,0.16549870279501
"HARV5",2,0.188850659146264,0.271805393750415,0.197836069167798
"WOOD7",4,0.208158448651499,0.341065932552919,0.199804599848524
"CPER5",2,0.0986470793455424,0.16127518069667,0.0943340482595144
"SJER4",0,NA,0.0816198582590063,NA
"SCBI4",3,0.286505833639474,0.367900003583102,0.289118320835759
"UNDE6",5,0.242291560470115,0.302124986422465,0.262229628301892
"HARV4",2,0.105728267482319,0.28915772989047,0.0436050402721554
"SCBI6",0,NA,0.205774070969191,NA
"UNDE4",5,0.251560707891731,0.393428585445361,0.293829214334788
"UNDE7",5,0.269481233827045,0.364942367802667,0.290963546793734
"TALL5",4,0.0713293911855966,0.381464894545872,0.129065568159083
"HARV6",3,0.200536917782792,0.324264448736436,0.240140088475793
"TALL1",0,NA,0.264494277375031,NA
"CPER7",0,NA,0.309399468427758,NA
"YELL4",5,0.0705410590585729,0.162711687861926,0.105982276048754
"UNDE5",2,0.176079393186757,0.160535469816986,0.0961524253819068
"WOOD4",0,NA,0.305890388653372,NA
"CLBJ4",5,0.12271364874555,0.209565198006222,0.117348943107697
"CLBJ5",5,0.107210394501414,0.211711203090262,0.0592781004582289
"SJER5",0,NA,NA,NA
"TALL6",0,NA,0.262212765989832,NA
"WOOD6",4,0.103905372923121,0.167073888730561,0.0786334701079689
"CPER4",3,0.165770983960589,0.290505365933443,0.0978858685766077
"CLBJ6",2,0.0506934394036444,0.13101731781926,0.121780161997268
