"Site_ID","Sample_ID","Bout","Species","d18O.bound","d2H.bound"
"CPER_tower","20-196_CPER1-A-2","CPER1","Bouteloua gracilis",TRUE,TRUE
"CPER_tower","20-196_CPER1-A-3","CPER1","Bouteloua gracilis",FALSE,FALSE
"CPER_tower","20-196_CPER1-A-4","CPER1","Bouteloua gracilis",FALSE,FALSE
"CPER_tower","20-196_CPER1-B-2","CPER1","Hesperostipa comata",FALSE,FALSE
"CPER_tower","20-196_CPER1-B-3","CPER1","Hesperostipa comata",FALSE,FALSE
"CPER_tower","20-196_CPER1-B-4","CPER1","Hesperostipa comata",FALSE,FALSE
"CPER_tower","20-196_CPER1-B-5","CPER1","Hesperostipa comata",FALSE,FALSE
"CPER_tower","20-196_CPER1-C-1","CPER1","Eriogonum effusum",FALSE,FALSE
"CPER_tower","20-196_CPER1-C-2","CPER1","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-196_CPER1-C-3","CPER1","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-196_CPER1-C-4","CPER1","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-196_CPER1-C-5","CPER1","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-196_CPER1-D-1","CPER1","Artemisia frigida",FALSE,FALSE
"CPER_tower","20-196_CPER1-D-4","CPER1","Artemisia frigida",TRUE,FALSE
"CPER_tower","20-196_CPER1-D-5","CPER1","Artemisia frigida",FALSE,FALSE
"CPER_tower","20-196_CPER1-E-1","CPER1","Elymus elymoides",FALSE,FALSE
"CPER_tower","20-196_CPER1-E-3","CPER1","Elymus elymoides",TRUE,FALSE
"NIWO_tower","20-196_NIWO1-B-1","NIWO1","Carex rupestris",FALSE,TRUE
"NIWO_tower","20-196_NIWO1-B-2","NIWO1","Carex rupestris",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-B-3","NIWO1","Carex rupestris",FALSE,FALSE
"NIWO_tower","20-196_NIWO1-B-4","NIWO1","Carex rupestris",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-B-5","NIWO1","Carex rupestris",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-C-1","NIWO1","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-C-2","NIWO1","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-C-3","NIWO1","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-C-4","NIWO1","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-C-5","NIWO1","Abies lesiocarpa",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-D-1","NIWO1","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-D-2","NIWO1","Minuartia obtusiloba",FALSE,TRUE
"NIWO_tower","20-196_NIWO1-D-3","NIWO1","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-D-4","NIWO1","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-D-5","NIWO1","Minuartia obtusiloba",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-E-1","NIWO1","Salix sp.",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-E-2","NIWO1","Salix sp.",TRUE,TRUE
"NIWO_tower","20-196_NIWO1-E-5","NIWO1","Salix sp.",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-A-1","SCBI1","Liriodendron tulipifera",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-A-3","SCBI1","Liriodendron tulipifera",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-A-5","SCBI1","Liriodendron tulipifera",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-B-1","SCBI1","Quercus rubra",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-B-2","SCBI1","Quercus rubra",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-B-3","SCBI1","Quercus rubra",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-C-1","SCBI1","Quercus alba",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-C-2","SCBI1","Quercus alba",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-C-3","SCBI1","Quercus alba",FALSE,TRUE
"SCBI_tower","20-196_SCBI1-C-4","SCBI1","Quercus alba",TRUE,FALSE
"SCBI_tower","20-196_SCBI1-C-5","SCBI1","Quercus alba",TRUE,FALSE
"SCBI_tower","20-196_SCBI1-D-1","SCBI1","Juglans nigra",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-D-2","SCBI1","Juglans nigra",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-D-3","SCBI1","Juglans nigra",TRUE,TRUE
"SCBI_tower","20-196_SCBI1-D-4","SCBI1","Juglans nigra",FALSE,TRUE
"UNDE_tower","20-196_UNDE1-A-1","UNDE1","Acer saccharum",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-C-1","UNDE1","Betula papyrifera",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-C-2","UNDE1","Betula papyrifera",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-C-3","UNDE1","Betula papyrifera",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-C-4","UNDE1","Betula papyrifera",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-D-1","UNDE1","Picea mariana",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-D-2","UNDE1","Picea mariana",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-D-3","UNDE1","Picea mariana",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-D-4","UNDE1","Picea mariana",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-D-5","UNDE1","Picea mariana",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-E-1","UNDE1","Abies balsamea",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-E-2","UNDE1","Abies balsamea",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-E-3","UNDE1","Abies balsamea",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-E-4","UNDE1","Abies balsamea",TRUE,TRUE
"UNDE_tower","20-196_UNDE1-E-5","UNDE1","Abies balsamea",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-A-3","WOOD1","Poa pratensis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-A-4","WOOD1","Poa pratensis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-A-5","WOOD1","Poa pratensis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-C-2","WOOD1","Bromus inermis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-C-3","WOOD1","Bromus inermis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-C-4","WOOD1","Bromus inermis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-C-5","WOOD1","Bromus inermis",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-E-1","WOOD1","Schizachyrium scoparium",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-E-2","WOOD1","Schizachyrium scoparium",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-E-4","WOOD1","Schizachyrium scoparium",TRUE,TRUE
"WOOD_tower","20-196_WOOD1-E-5","WOOD1","Schizachyrium scoparium",TRUE,TRUE
"CPER_tower","20-202_CPER2-A-1","CPER2","Bouteloua gracilis",TRUE,TRUE
"CPER_tower","20-202_CPER2-A-2","CPER2","Bouteloua gracilis",TRUE,TRUE
"CPER_tower","20-202_CPER2-A-3","CPER2","Bouteloua gracilis",TRUE,TRUE
"CPER_tower","20-202_CPER2-A-4","CPER2","Bouteloua gracilis",TRUE,TRUE
"CPER_tower","20-202_CPER2-A-5","CPER2","Bouteloua gracilis",TRUE,TRUE
"CPER_tower","20-202_CPER2-B-1","CPER2","Hesperostipa comata",TRUE,TRUE
"CPER_tower","20-202_CPER2-B-2","CPER2","Hesperostipa comata",TRUE,TRUE
"CPER_tower","20-202_CPER2-B-3","CPER2","Hesperostipa comata",TRUE,TRUE
"CPER_tower","20-202_CPER2-B-4","CPER2","Hesperostipa comata",TRUE,TRUE
"CPER_tower","20-202_CPER2-B-5","CPER2","Hesperostipa comata",TRUE,TRUE
"CPER_tower","20-202_CPER2-C-1","CPER2","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-202_CPER2-C-2","CPER2","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-202_CPER2-C-3","CPER2","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-202_CPER2-C-4","CPER2","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-202_CPER2-C-5","CPER2","Eriogonum effusum",TRUE,TRUE
"CPER_tower","20-202_CPER2-D-1","CPER2","Artemisia frigida",TRUE,TRUE
"CPER_tower","20-202_CPER2-D-3","CPER2","Artemisia frigida",TRUE,TRUE
"CPER_tower","20-202_CPER2-D-4","CPER2","Artemisia frigida",TRUE,TRUE
"CPER_tower","20-202_CPER2-D-5","CPER2","Artemisia frigida",TRUE,FALSE
"CPER_tower","20-202_CPER2-E-1","CPER2","Elymus elymoides",TRUE,TRUE
"CPER_tower","20-202_CPER2-E-2","CPER2","Elymus elymoides",TRUE,TRUE
"CPER_tower","20-202_CPER2-E-3","CPER2","Elymus elymoides",TRUE,TRUE
"CPER_tower","20-202_CPER2-E-4","CPER2","Elymus elymoides",TRUE,TRUE
"CPER_tower","20-202_CPER2-E-5","CPER2","Elymus elymoides",TRUE,TRUE
"HARV_tower","20-203_HARV1-B-1","HARV1","Acer rubrum",TRUE,TRUE
"HARV_tower","20-203_HARV1-B-2","HARV1","Acer rubrum",TRUE,TRUE
"HARV_tower","20-203_HARV1-B-3","HARV1","Acer rubrum",TRUE,TRUE
"HARV_tower","20-203_HARV1-C-1","HARV1","Pinus strobus",TRUE,TRUE
"HARV_tower","20-203_HARV1-C-2","HARV1","Pinus strobus",TRUE,TRUE
"HARV_tower","20-203_HARV1-C-3","HARV1","Pinus strobus",TRUE,TRUE
"HARV_tower","20-203_HARV1-C-4","HARV1","Pinus strobus",TRUE,TRUE
"HARV_tower","20-203_HARV1-C-5","HARV1","Pinus strobus",FALSE,TRUE
"HARV_tower","20-203_HARV1-D-1","HARV1","Tsuga canadensis",TRUE,TRUE
