"","ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Sample_ID","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Species","Dex","Dex.off","d2H.irms","d18O.irms","p.diff.h","p.diff.o"
"1","CLBJ4-C-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ4-C-3","Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Smilax bona-nox L.",-18.5803745454,-2.1471759445,NA,0.460536769188346,0.0594343806500358,NA,"SPATIAL",384,"CLBJ4","Smilax bona-nox",-1.4029669894,34.438825808,-17,-2.5,1.5803745454,-0.3528240555
"2","CLBJ4-E-1","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ4-E-1","Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Quercus stellata Wangenh.",-39.4337271955,-4.3678488922,NA,0.395760335643329,0.0532741746042976,NA,"SPATIAL",384,"CLBJ4","Quercus stellata",-4.4909360579,31.3508567395,-44,-4.9,-4.5662728045,-0.532151107800001
"3","CLBJ4-E-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ4-E-3","Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Quercus stellata Wangenh.",-37.587357715,-3.827238379,NA,0.401491094667297,0.0515394634304998,NA,"SPATIAL",384,"CLBJ4","Quercus stellata",-6.969450683,28.8723421144,-38,-4.3,-0.412642284999997,-0.472761621
"4","CLBJ5-A-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ5-A-3","Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Sorghastrum nutans (L.) Nash",-10.2836829036,-1.7300313456,NA,0.481183718299339,0.057528076635517,NA,"SPATIAL",384,"CLBJ5","Sorghastrum nutans",3.5565678612,7.7257383738,-18,-2.3,-7.7163170964,-0.5699686544
"5","CLBJ5-C-2","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ5-C-2","Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Smilax bona-nox L.",-28.695049884,-4.8086284725,NA,0.430675021443831,0.0474990779427622,NA,"SPATIAL",384,"CLBJ5","Smilax bona-nox",9.773977896,13.9431484086,-28,-5.1,0.695049883999999,-0.2913715275
"6","CLBJ5-C-4","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ5-C-4","Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Smilax bona-nox L.",-32.313854326,-4.6763506917,NA,0.425987986706511,0.0489709284281071,NA,"SPATIAL",384,"CLBJ5","Smilax bona-nox",5.0969512076,9.2661217202,-32,-5.5,0.313854325999998,-0.8236493083
"7","CLBJ5-D-4","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ5-D-4","Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Schizachyrium scoparium",-9.2792192664,0.1125693332,NA,0.513425202698209,0.0668136454794069,NA,"SPATIAL",384,"CLBJ5","Schizachyrium scoparium",-10.179773932,-6.0106034194,-18,-0.7,-8.7207807336,-0.8125693332
"8","CLBJ5-E-5","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-079_CLBJ5-E-5","Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Quercus stellata Wangenh.",-27.0914377568,-2.5479073094,NA,0.43663763166335,0.0565135902871985,NA,"SPATIAL",384,"CLBJ5","Quercus stellata",-6.7081792816,-2.539008769,-22,-3.9,5.0914377568,-1.3520926906
"9","CLBJ6-A-2","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-084_CLBJ6-A-2","Stem","2021-09-29 00:00:00",NA,"2021-09-29 00:00:00",6,NA,NA,"Sorghastrum nutans (L.) Nash",-14.5934288265,-1.1617120593,NA,0.510696358172686,0.0611804607644682,NA,"SPATIAL",384,"CLBJ6","Sorghastrum nutans",-5.2997323521,24.0515070726,-9,-1.7,5.5934288265,-0.5382879407
"10","CLBJ6-D-5","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"23-084_CLBJ6-D-5","Stem","2021-09-29 00:00:00",NA,"2021-09-29 00:00:00",6,NA,NA,"Schizachyrium scoparium",-4.2036512951,0.848881817,NA,0.524460837423233,0.0691899568671597,NA,"SPATIAL",384,"CLBJ6","Schizachyrium scoparium",-10.9947058311,18.3565335936,-7,0.5,-2.7963487049,-0.348881817
